,Max_Diameter,Relative_Velocity,Miss_Distance,Categorized_Diameter,Categorized_Relative_Vel,Categorised_Miss_Distance,Hazardous,IsLarge,Norm
10344,0.1185877909,39981.6116757317,12729412.639170734,Small,Slow,Less,False,0,0.46
9427,0.2060819612,25831.1051829351,71471134.78002737,Small,Slow,More,False,0,0.46
30105,0.0156329154,23641.3181903561,52533729.37379698,Small,Slow,More,False,0,0.46
3396,0.2259643771,61724.820116866,39844822.87117296,Small,Fast,Medium,False,0,0.48
8767,0.0986370281,75514.8085816738,59096017.55889802,Small,Fast,More,False,0,0.48
66251,0.5224442801,39975.4361642501,30088719.644155458,Large,Slow,Medium,False,1,0.46
43166,0.0594346868,20464.6684673646,44123315.16142966,Small,Slow,Medium,False,0,0.46
55818,0.0259441818,20123.7766961849,34804650.318089806,Small,Slow,Medium,False,0,0.46
47053,0.0714562102,54050.6357450572,73205309.19255619,Small,Fast,More,False,0,0.48
27918,0.0156329154,25129.5852015409,56874936.27759231,Small,Slow,More,False,0,0.46
78503,0.0859092601,47357.2350740182,33464231.023048457,Small,Slow,Medium,False,0,0.46
79669,0.6516883822,40556.9527138865,37481246.26769995,Large,Slow,Medium,False,1,0.46
43501,0.1425738833,14257.8063816602,38014720.23072664,Small,Slow,Medium,False,0,0.46
76566,0.0859092601,94685.2622582562,3259781.000601874,Small,Fast,Less,False,0,0.48
8841,0.0358129403,56812.1472361397,61194250.07166547,Small,Fast,More,False,0,0.48
13413,0.0941976306,59057.342157384,26090540.027959067,Small,Fast,Medium,False,0,0.48
63211,0.1288368146,58438.670175086,17317212.498093493,Small,Fast,Less,False,0,0.48
8576,0.2432427915,29730.2786340162,51346448.79570044,Small,Slow,More,False,0,0.46
90215,0.1132504611,36406.9678081352,11265215.707456494,Small,Slow,Less,False,0,0.46
18549,0.0682401509,57346.3631147407,43810583.62663461,Small,Fast,Medium,False,0,0.48
64245,0.1968067451,13366.8718443976,37489316.65391242,Small,Slow,Medium,False,0,0.46
